Name|Layer|Type|Movable|Description
Move Change Direction (Right)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Change Direction (Left)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Change Direction (Up)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Change Direction (Down)|Tag|Tag|False|These tiles can be used to create paths to redirect and guide movable objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied
Move Extension|Tag|Tag|False|This tile can be used to extend the area a movement instruction/trigger impacts. This is done by joining the two areas that should both be effected with a line of these tiles; this could be used to, for example, make two buildings fall at the same time even if the player only walks on one of them. These tiles are not effected by movement instructions and do not act as triggers themselves, so the player walking through them will not trigger the desired movement effect
Falling Movement (Slow)|Tag|Tag|False|All tiles with a this tag will begin falling downward at the specified speed, based on the variant chosen
Falling Movement (Medium)|Tag|Tag|False|All tiles with a this tag will begin falling downward at the specified speed, based on the variant chosen
Falling Movement (Fast)|Tag|Tag|False|All tiles with a this tag will begin falling downward at the specified speed, based on the variant chosen
Falling Movement Trigger (Slow)|Tag|Tag|False|When the player comes into contact with this tile all connnected tiles with a falling movement trigger will begin falling downward at the specified speed
Falling Movement Trigger (Medium)|Tag|Tag|False|When the player comes into contact with this tile all connnected tiles with a falling movement trigger will begin falling downward at the specified speed
Falling Movement Trigger (Fast)|Tag|Tag|False|When the player comes into contact with this tile all connnected tiles with a falling movement trigger will begin falling downward at the specified speed
Move No Acceleration (Right and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Left and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Up and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Down and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Right and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Left and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Up and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Down and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Right and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Left and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Up and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration (Down and Fast)|Tag|Tag|TMovable: False|hese tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed
Move No Acceleration With Pause (Right and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Left and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Up and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Down and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Right and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Left and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Up and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Down and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Right and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Left and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Up and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move No Acceleration With Pause (Down and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Unlike the other variant of move instructions, these ones will not apply acceleration, so the object will move at a fixed/constant speed. Furthermore, a short pause will be added before a directional change takes effect
Move With Pause (Right and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Left and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Up and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Down and Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Right and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Left and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Up and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Down and Medium)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Right and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Left and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Up and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Down and Fast)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will being moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Do Not Move Background|Tag|Tag|False|Any movement instructions adjacent to this tile will exclude the background layers from being moved, so they will remain where they are
Map/Level Transition (Right)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Left)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Up)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Down)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Stop|Tag|Tag|False|When a moving object comes into contact with this tile it will stop moving and remain there
Destroy/Kill|Tag|Tag|False|When a moving object comes into contact with this tile it will be destroyed/killed
Spawner|Tag|Tag|False|When the switch tile with the corresponding number is pressed, blocks will be spawned wherever this tile is located
Despawner|Tag|Tag|False|When the switch tile with the corresponding number is pressed, blocks will be despawned wherever this tile is located
Button Save State (Unused)|Tag|Tag|False|Originally used as an indicator for the game to save the current button state for the currently active level. However, this feature is now unused and non-functional
Warp Point|Tag|Tag|False|A warp point where the player will be teleported/warped too
Movement Wrap|Tag|Tag|False|Any movement instruction tiles with this tile attached/adjacent will make the object wrap around when it has exited the screen. For example, if an object went off the left side of the screen they would return on the right side of the screen, still moving in the same direction
Do Not Move Tiles|Tag|Tag|False|Any movement instructions adjacent to this tile will exclude the tile/active layer from being moved, so they will remain where they are
Do Not Move Overlay|Tag|Tag|False|Any movement instructions adjacent to this tile will exclude the overlay/Tag layer from being moved, so they will remain where they are
Ascending Movement Trigger (Slow)|Tag|Tag|False|When the player comes into contact with this tile all connnected tiles with an ascending movement trigger will begin ascending at the specified speed
Ascending Movement Trigger (Medium)|Tag|Tag|False|When the player comes into contact with this tile all connnected tiles with an ascending movement trigger will begin ascending at the specified speed
Ascending Movement Trigger (Fast)|Tag|Tag|False|When the player comes into contact with this tile all connnected tiles with an ascending movement trigger will begin ascending at the specified speed
Weighted Movement Trigger (Slow)|Tag|Tag|False|When the player stands on top of a tile with this tag/trigger, it and all connected tiles with the trigger will begin falling down at the specified speed. When the player is no longer standing on the tile(s) they will begin ascending upwards until they come into contact with a stop tile
Weighted Movement Trigger (Medium)|Tag|Tag|False|When the player stands on top of a tile with this tag/trigger, it and all connected tiles with the trigger will begin falling down at the specified speed. When the player is no longer standing on the tile(s) they will begin ascending upwards until they come into contact with a stop tile
Weighted Movement Trigger (Fast)|Tag|Tag|False|When the player stands on top of a tile with this tag/trigger, it and all connected tiles with the trigger will begin falling down at the specified speed. When the player is no longer standing on the tile(s) they will begin ascending upwards until they come into contact with a stop tile
Sine Movement (Slow)|Tag|Tag|False|Any objects that are intructed to move by a movement instruction/trigger that is attatched to this tile, will move at a sine wave based rate. The more of these tiles that are added the more of an impact they will have
Sine Movement (Medium)|Tag|Tag|False|Any objects that are intructed to move by a movement instruction/trigger that is attatched to this tile, will move at a sine wave based rate. The more of these tiles that are added the more of an impact they will have
Sine Movement (Fast)|Tag|Tag|False|Any objects that are intructed to move by a movement instruction/trigger that is attatched to this tile, will move at a sine wave based rate. The more of these tiles that are added the more of an impact they will have
Crushing Block (Right)|Tag|Tag|False|Any tiles with this trigger/tag attached will act as normal, but when the player moves in front of the tile(s) specified path, it will rapidly move towards the player and only stop when solid ground is hit. Once it has stopped the tiles will slowly move back into their original position. (This tag is used to create the crushing block traps seen in The Machine)
Crushing Block (Left)|Tag|Tag|False|Any tiles with this trigger/tag attached will act as normal, but when the player moves in front of the tile(s) specified path, it will rapidly move towards the player and only stop when solid ground is hit. Once it has stopped the tiles will slowly move back into their original position. (This tag is used to create the crushing block traps seen in The Machine)
Crushing Block (Up)|Tag|Tag|False|Any tiles with this trigger/tag attached will act as normal, but when the player moves in front of the tile(s) specified path, it will rapidly move towards the player and only stop when solid ground is hit. Once it has stopped the tiles will slowly move back into their original position. (This tag is used to create the crushing block traps seen in The Machine)
Crushing Block (Down)|Tag|Tag|False|Any tiles with this trigger/tag attached will act as normal, but when the player moves in front of the tile(s) specified path, it will rapidly move towards the player and only stop when solid ground is hit. Once it has stopped the tiles will slowly move back into their original position. (This tag is used to create the crushing block traps seen in The Machine)
Crushing Block (All)|Tag|Tag|False|Any tiles with this trigger/tag attached will act as normal, but when the player moves in front of any of the tile&#8217;s sides, it will rapidly move towards the player and only stop when solid ground is hit. Once it has stopped the tile(s) will now remain in their new position and will not return to where they once were. (This tag is used to create the multi-directional crushing block traps seen in Golgotha)
Wind / Gravitational Pull (Right)|Tag|Tag|False|When this tag is placed inside a level the player will constantly be slowly pushed in the specified direction. (This tag is used in the end stages of Ruin and the start of Acceptance)
Wind / Gravitational Pull (Left)|Tag|Tag|False|When this tag is placed inside a level the player will constantly be slowly pushed in the specified direction. (This tag is used in the end stages of Ruin and the start of Acceptance)
Background|Tag|Tag|False|This tag is used to set the relative position of the background image in the level. It is most commonly placed near the bottom-right corner of a level&#8217;s camera bounds
Foreground|Tag|Tag|False|This tag is used to set the relative position of the foreground image in the level. It is most commonly placed near the bottom-right corner of a level&#8217;s camera bounds
Move With Pause (Right and Very Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will begin moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Left and Very Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will begin moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Up and Very Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will begin moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Move With Pause (Down and Very Slow)|Tag|Tag|False|These tiles can be used to create paths to guide and move objects/enemies, etc. around a level. If an object collides with a movement tile then it will begin moving in the direction marked on the tile and will not stop until new movement instructions are supplied. Furthermore, a short pause will be added before a directional change takes effect, this pause is smoothed out by the object slowing and down and then accelerating once more when it begins moving again
Map/Level Transition (Top-Right)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Bottom-right)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Top-Left)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Map/Level Transition (Bottom-Left)|Tag|Tag|False|These tiles mark entrances into a given level, the directional arrows specify which direction the player is entering the map from, allowing for the world map made up of different levels to connect together. They also act as exits to other levels, the opposite direction to the one shown specifies which direction the player is leaving from. If a level has no level transition tiles then there is no way to leave and travel to connected areas, leaving the player stuck
Warp Point (Leave Area)|Tag|Tag|False|When the player goes through an exit warp (usually found at the end of a secret level) or selects the \"Leave Area\" option from the menu, they will be teleported to the last warp point tile that they encountered
???|Tag|Tag|???|An unused and non-functional tile, its previous purpose is unknown
Checkpoint|Tag|Tag|False|When/if the player dies they will be respawned at the checkpoint nearest to the entrance they used to enter the level
Water|Overlay|Liquid|True|A tile made out of water, the player character is able to swim through the water using the jump and duck/crouch keys
Polluted Water|Overlay|Liquid|True|A tile made out of water, the player character is able to swim through the water using the jump and duck/crouch keys. This variant of water will damage the player whilst they are submerged and will eventually kill the player. This property is the same to that of the pollution clouds, except the player is able to swim through these tiles
Lava|Overlay|Liquid|True|A tile made out of lava, any form of contact with this tile will result in death for the player
Water (Until Bottom)|Overlay|Liquid|True|A tile made out of water, the player character is able to swim through the water using the jump and duck/crouch keys. This variant will make all tiles below it into water as well, resulting in less time being spent placing large quantities of tiles
Polluted Water (Until Bottom)|Overlay|Liquid|True|A tile made out of water, the player character is able to swim through the water using the jump and duck/crouch keys. This variant of water will damage the player whilst they are submerged and will eventually kill the player. This property is the same to that of the pollution clouds, except the player is able to swim through these tiles. Furthermore, this tile will make all tiles below it into polluted water as well, resulting in less time being spent placing large quantities of tiles
Lava (Until Bottom)|Overlay|Liquid|True|A tile made out of lava, any form of contact with this tile will result in death for the player. This variant will make all tiles below it into lava as well, resulting in less time being spent placing large quantities of tiles
Solid (Overlay/Front)|Overlay|Basic|True|This tile is exactly the same as the standard solid tile; however, it acts as though it were an overlay/front tile, meaning it will ignore movement instructions if a \"Do Not Move Overlay\" tag tile is attached to the move instruction
Gravitational Pull Beam|Overlay|Basic|False|This tile acts very similar to water, allowing the player to swim through it with the same controls. The difference is that this tile will constantly apply an unpward force to the player, pushing them higher. (This tile is made use of throughout The Machine)
Particle Generator (Overlay/Front)|Overlay|Basic|True|This tile can be assigned a variety of different particle effects that will be spawned from the tile's location, allowing for more detailed levels. These particles can be assigned to the individual particle spawner tiles by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference. Furthermore new particles can be created, and existing ones modified, in the particles.txt file, for more info about modifying particles see the Particles section in the Modding Reference
Fake Solid (Overlay/Front)|Overlay|Basic|True|This tile is exactly the same as the standard fake solid tile; however, it acts as though it were an overlay/front tile, meaning it will ignore movement instructions if a \"Do Not Move Overlay\" tag tile is attached to the move instruction.
Modular Background 1 Piece|Back 1|Basic|True|One of many modular background tiles that can be used in conjunction with the other pieces to create unique backgrounds for levels. These pieces sit infront of the background 2 layer and the level's background image.
Decoration (Background 1)|Layer: Back 1|Basic|True|This tile can be assigned a variety of special non-interactive decorations that will appear in game as part of the background 1 layer, allowing for more detailed levels. These pieces sit infront of the background 2 layer and the level&#8217;s background image. These decorations can be assigned to the individual decoration tiles by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference.
Modular Background 2 Piece|Back 2|Basic|False|One of many modular background tiles that can be used in conjunction with the other pieces to create unique backgrounds for levels. These pieces sit behind the background 1 layer and infront of the level&#8217;s background image.
Decoration (Background 2)|Back 2|Basic|False|This tile can be assigned a variety of special non-interactive decorations that will appear in game as part of the background 2 layer, allowing for more detailed levels. These pieces sit behind the background 1 layer and infront of the level&#8217;s background image. These decorations can be assigned to the individual decoration tiles by modifying the tilesets.txt file, for more info about modifying tilesets see the Tilesets section in the Modding Reference.
???|Back 2|???|???|Most likely unused and non-functional tiles that have no purpose.